sira_no,unvan,adi_soyadi,yili,alan,calistigi_kurum
11,Prof.Dr.,Canan KOCA ARITAN,2011,Spor Bilimleri ve Teknolojisi,Hacettepe Üniversitesi
12,Prof. Dr.,Coşkun KOCABAŞ,2011,Fizik,Manchester University (Bilkent Üniv.)
13,Prof. Dr.,Ali KOŞAR,2011,Mekatronik Mühendisliği,Sabancı Üniversitesi
14,Prof. Dr.,Seçkin KÜRKÇÜOĞLU,2011,Fizik,ODTÜ
15,Prof. Dr.,İbrahim Burç MISIRLIOĞLU,2011,Mühendislik ve Doğa Bilimleri,Sabancı Üniversitesi
16,Dr.,Ayşe PARLA,2011,Sosyal Antropoloji,Boston University (Sabancı Üniv)
17,Prof. Dr.,Rana SANYAL,2011,Kimya,Boğaziçi Üniversitesi
18,Prof. Dr.,Mehmet Alper ŞEN,2011,Bilgisayar Mühendisliği,Boğaziçi Üniversitesi
19,Prof. Dr.,Murat UYSAL,2011,Elektrik-Elektronik Mühendisliği,Özyeğin Üniversitesi
20,Prof. Dr.,Sinan ÜNVER,2011,Matematik,Koç Üniversitesi
21,Prof. Dr.,Hande YAMAN PATERNOTTE,2011,Endüstri Mühendisliği,KU Leuven (Bilkent Üniv.)
22,Prof. Dr.,Nazmi YARAŞ,2011,Tıp/Biyofizik,Akdeniz Üniversitesi
