sira_no,unvan,adi_soyadi,yili,alan,calistigi_kurum
1,Doç. Dr.,Sercan KARAV,2024,Moleküler Biyoloji,Çanakkale Onsekiz Mart Üniversitesi
2,Doç. Dr.,Ercan KILIÇARSLAN,2024,Matematiksel Fizik,Uşak Üniversitesi
3,Doç. Dr.,Yeşim MOĞULKOÇ,2024,Fizik / Hesaplamalı Fizik,Ankara Üniversitesi
4,Dr. Öğr. Üyesi,Nur MUSTAFAOĞLU,2024,Biyomühendislik,Sabancı Üniversitesi
5,Dr. Öğr. Üyesi,Ece ÖZTÜRK,2024,Biyomühendislik / Doku Mühendisliği,Koç Üniversitesi
6,Dr. Öğr. Üyesi,Şener SAĞLAM,2024,Analitik Kimya,İstanbul Üniversitesi-Cerrahpaşa
7,Doç. Dr.,Erhan ZOR,2024,Kimya / Analitik Kimya,Necmettin Erbakan Üniversitesi
8,Prof. Dr.,Tuğrul ÇETİNKAYA,2024,Elektrokimyasal Enerji Depolama,Sakarya Üniversitesi
9,Doç. Dr.,Ömer EKMEKCİOĞLU,2024,İnşaat Mühendisliği,İstanbul Teknik Üniversitesi
10,Doç. Dr.,Bilge COŞKUNER FİLİZ,2024,Malzeme Bilimi Ve Mühendisliği,Yıldız Teknik Üniversitesi
11,Dr.Öğr. Üyesi,Morteza GHORBANİ,2024,Makine Mühendisliği,Sabancı Üniversitesi
12,Dr. Öğr. Üyesi,Hüseyin Enis KARAHAN,2024,Kimya-Biyoloji Mühendisliği//Biyomühendislik,İTÜ / Fransa Ulusal Bilimsel Araştırma Merkezi
13,Prof. Dr.,Ali MARDANİ,2024,Yapı Malzemesi,Uludağ Üniversitesi
14,Doç. Dr.,Ayça BAL ÖZTÜRK,2024,Biyomühendislik,İstinye Üniversitesi
15,Doç. Dr.,Furkan Türker SARICAOĞLU,2024,Gıda Bilimi Ve Mühendisliği,Bursa Teknik Üniversitesi
16,Doç. Dr.,Erkan ER,2024,Eğitim Teknolojileri / Yapay Zeka,ODTÜ
17,Doç. Dr.,Mustafa ÖZTÜRK,2024,Eğitim Bilimleri,Boğaziçi Üniversitesi
18,Dr. Öğr. Üyesi,Kenan TEKİN,2024,Felsefe Tarihi,Boğaziçi Üniversitesi
19,Doç. Dr.,Ayşenur DAL TOKDEMİR,2024,İletişim,Bilkent Üniversitesi
20,Dr. Öğr. Gör.,Yunus AKKOÇ,2024,Moleküler Biyoloji / Genetik,Koç Üniversitesi
21,Doç. Dr.,Semih ÇALAMAK,2024,Nanaoteknoloji Ve Nanotıp,Lokman Hekim Üniversitesi
22,Doç. Dr.,Sevinç KURBANOĞLU,2024,Analitik Kimya,Ankara Üniversitesi
23,Doç. Dr.,Nazlı Ece ORDUERİ,2024,Histoloji Ve Embriyoloji,Biruni Üniversitesi
24,Dr. Öğr. Gör.,Buse CEVATEMRE YILDIRIM,2024,Kanser Moleküler Biyolojisi,Koç Üniversitesi
25,Doç. Dr.,Burak BARUT,2024,Eczacılık / Biyokimya,Karadeniz Teknik Üniversitesi
1,Doç. Dr.,Ezgi Deniz BATU AKAL,2023,Çocuk Romatolojisi,Hacettepe Üniversitesi
2,Prof. Dr.,Özge ÇEVİK,2023,Tıbbi Biyokimya,Aydın Adnan Menderes Üniversitesi
3,Prof. Dr.,Bünyemin ÇOŞUT,2023,Anorganik Kimya,Gebze Teknik Üniversitesi
4,Dr. Öğr. Üyesi,Talha ERDEM,2023,Elektrik-Elektronik Mühendisliği,Abdullah Gül Üniversitesi
5,Dr. Öğr. Üyesi,Yavuz Nuri ERTAŞ,2023,Nanoteknoloji,Erciyes Üniversitesi
6,Doç. Dr.,İlknur ERUÇAR FINDIKÇI,2023,Malzeme Bilimi Ve Teknolojileri,Özyeğin Üniversitesi
7,Doç. Dr.,Metin GENÇTEN,2023,Malzeme Mühendisliği Ve Bilimi,Yıldız Teknik Üniversitesi
8,Doç. Dr.,Şeref GÜL,2023,Moleküler Biyoloji,İstanbul Üniversitesi
9,Doç. Dr.,Cangül KESKİN,2023,Diş Hekimliği/ Endodonti,Ondokuz Mayıs Üniversitesi
10,Doç. Dr.,Haydar KILIÇ,2023,Organik Kimya,Atatürk Üniversitesi
11,Prof. Dr.,Mustafa Servet KIRAN,2023,Bilgisayar Mühendisliği,Konya Teknik Üniversitesi
12,Doç. Dr.,Fatih KOCABAŞ,2023,Tıbbi Biyoloji,Yeditepe Üniversitesi
13,Doç. Dr.,Seçkin KÖSTEM,2023,Uluslararası İlişkiler,İ.D. Bilkent Üniversitesi
14,Dr. Öğr. Üyesi,Faiz MUHAFFEL,2023,Metalurji Ve Malzeme Mühendisliği,İstanbul Teknik Üniversitesi
15,Doç. Dr.,Büşra MÜCELDİLİ,2023,İşletme/Örgütsel Davranış,Yıldız Teknik Üniversitesi
16,Dr. Öğr. Üyesi,Halil İbrahim OKUR,2023,Fizikokimya-Biyofizik,İ.D. Bilkent Üniversitesi
17,Doç. Dr.,Nil ÖZBEK,2023,Kimya Mühendisliği,İstanbul Teknik Üniversitesi
18,Doç. Dr.,Muhammed Zeynel ÖZTÜRK,2023,Coğrafya/Fiziki Coğrafya,Niğde Ömer Halis Demir Üniversitesi
19,Doç. Dr.,Didem ŞEN KARAMAN,2023,Biyomedikal Mühendisliği,İzmir Katip Çelebi Üniversitesi
20,Doç. Dr.,Özge ŞENSOY,2023,"Hesaplamalı Biyofizik,Yapısal Biyoloji",İstanbul Medipol Üniversitesi
21,Doç. Dr.,Cem TEKİN,2023,Elektrik Elektronik Mühendisliği,İ.D. Bilkent Üniversitesi
22,Doç. Dr.,Emrah TIRAŞ,2023,Fizik,Erciyes Üniversitesi
23,Doç. Dr.,Fuat TOPUZ,2023,Polimer Kimya,İstanbul Teknik Üniversitesi
24,Doç. Dr.,Mehmet TURAN,2023,Bilgisayar Mühendisliği,Boğaziçi Üniversitesi
25,Prof. Dr.,Ekin UĞURLU,2023,Matematik,Çankaya Üniversitesi
26,Doç. Dr.,Sadiye VELİOĞLU,2023,Nanoteknoloji,Gebze Teknik Üniversitesi
27,Doç. Dr.,Atay VURAL,2023,Tıp(Nöroloji) Ve Nörobilim,Koç Üniversitesi
28,Doç. Dr.,İsmail YAŞAYANLAR,2023,Tarih-Yakınçağ Tarihi,Düzce Üniversitesi
29,Dr. Öğr. Üyesi,Sevcan YEŞİLTAŞ,2023,Ekonomi,Koç Üniversitesi
30,Doç. Dr.,Onurcan YILMAZ,2023,Psikoloji,Kadir Has Üniversitesi
31,Prof. Dr.,Ramazan YILMAZ,2023,Bilgisayar Ve Öğretim Teknolojileri Eğitimi,Bartın Üniversitesi
32,Doç. Dr.,Nur YİĞİTOĞLU APTOULA,2023,Yabancı Dil Eğitimi,Boğaziçi Üniversitesi
33,Doç. Dr.,Serkan YOLCU,2023,Hukuk/Anayasa Hukuku,İ.D. Bilkent Üniversitesi
34,Doç. Dr.,Sündüs Erbaş ÇAKMAK,2023,Kimyasal Biyoloji,Necmettin Erbakan Üniversitesi
1,Prof. Dr.,Bahriye AKAY,2022,Bilgisayar Mühendisliği,Erciyes Üniversitesi
2,Dr. Öğr. Üyesi,Eda AYDOĞAN GÜNGÖR,2022,Malzeme Bilimi Ve Mühendisliği,Orta Doğu Teknik Üniversitesi
3,Doç. Dr.,Sabahat Çiğdem BAĞCI,2022,Psikoloji,Sabancı Üniversitesi
4,Doç. Dr.,Cihan BAYINDIR,2022,İnşaat Mühendisliği/Hidrolik,İstanbul Teknik Üniversitesi
5,Doç. Dr.,Mustafa BENER,2022,Kimya/Analitik Kimya,İstanbul Üniversitesi
6,Doç. Dr.,Miray ÇELİKBİLEK ERSUNDU,2022,Malzeme ve Metalürji Mühendisliği,Yıldız Teknik Üniversitesi
7,Dr.,Arif Engin ÇETİN,2022,Nanofotonik ve Biyotanımlama Sistemler,İzmir Biyotıp ve Genom Merkezi
8,Dr. Öğr. Üyesi,Gaye DANIŞAN,2022,Bilim Tarihi,İstanbul Üniversitesi
9,Doç. Dr.,Çağatay DENGİZ,2022,Kimya/Organik Kimya,Orta Doğu Teknik Üniversitesi
10,Doç.Dr.,Burak DERKUŞ,2022,Kimya/Biyokimya,Ankara Üniversitesi
11,Dr. Öğr. Üyesi,Hamdi DİBEKLİOĞLU,2022,Bilgisayar Bilimleri ve Mühendisliği,İ. D. Bilkent Üniversitesi
12,Doç. Dr.,Nilay DURUK MUTLUBAŞ,2022,Matematik,Sabancı Üniversitesi
13,Dr. Öğr. Üyesi,Hüseyin Atakan EKİZ,2022,Moleküler Biyoloji,İzmir Yüksek Teknoloji Enstitüsü
14,Doç. Dr.,Utku Kürşat ERCAN,2022,Biyomedikal Mühendisliği,İzmir Kâtip Çelebi Üniversitesi
15,Doç. Dr.,Şefik Evren ERDENER,2022,Tıp/Sinirbilim,Hacettepe Üniversitesi
16,Doç. Dr.,Ali ERKEN,2022,Siyasi Tarih,Marmara Üniversitesi
17,Doç. Dr.,Aykut GRAM,2022,Veteriner Fakültesi/Hist. ve Embriyoloji,Erciyes Üniversitesi
18,Doç. Dr.,Gamze GÜNEY ESKİLER,2022,Tıbbi Biyoloji,Sakarya Üniversitesi
19,Doç. Dr.,Alper GÜRBÜZ,2022,Jeoloji Mühendisliği,Niğde Ömer Halisdemir Üniversitesi
20,Doç. Dr.,Aslı Gökçe KILIÇ,2022,Müzelerde Önleyici Koruma Çalışmaları,İstanbul Üniversitesi
21,Doç. Dr.,Namık KILIÇ,2022,Sualtı Kültür Mirasının Korunması,İstanbul Üniversitesi
22,Doç. Dr.,Serdar KOCAMAN,2022,Nanoteknoloji/Fotonik,Orta Doğu Teknik Üniversitesi
23,Dr. Öğr. Üyesi,Safacan KÖLEMEN,2022,Kimya/Organik Kimya,Koç Üniversitesi
24,Dr. Öğr. Üyesi,Cem ÖRNEK,2022,Malzeme ve Korozyon Bilimleri,İstanbul Teknik Üniversitesi
25,Dr. Öğr. Üyesi,Pakize Neslihan TAŞLI,2022,Biyoteknoloji,Yeditepe Üniversitesi
26,Doç. Dr.,Abdullah TİRGİL,2022,Ekonomi,Ankara Yıldırım Beyazıt Üniversitesi
27,Dr. Öğr. Üyesi,Sedef TURPER ALIŞIK,2022,Uluslararası İlişkiler,Koç Üniversitesi
28,Doç. Dr.,Yunus Emre TÜRKMEN,2022,Kimya/Organik Kimya,İ. D. Bilkent Üniversitesi
29,Doç. Dr.,Uğur UZUNKAYA,2022,Türk Dili ve Edebiyatı/Eski Türk Dili,Erzurum Teknik Üniversitesi
30,Dr. Öğr. Üyesi,Alper YAĞCI,2022,Siyaset Bilimi ve Uluslararası İlişkiler,Boğaziçi Üniversitesi
31,Doç. Dr.,Mehmet YAĞMURCUKARDEŞ,2022,Fizik/Yoğun Madde Fiziği,İzmir Yüksek Teknoloji Enstitüsü
32,Dr. Öğr. Üyesi,Seçil YILDIRIM KARAMAN,2022,İktisat,Marmara Üniversitesi
33,Doç. Dr.,Hatice YILDIZ DURAK,2022,Bilgisayar ve Öğretim Teknolojileri,Necmettin Erbakan Üniversitesi
34,Doç. Dr.,Serdar TORT,2022,Eczacılık / Farmasötik Teknoloji,Gazi Üniversitesi
1,Dr. Öğr. Üyesi,Ahmet ACAR,2021,Biyolojik Bilimler / Kanser Biyolojisi,Orta Doğu Teknik Üniversitesi
2,Dr. Öğr. Üyesi,Ogün ADEBALİ,2021,Biyoenformatik,Sabancı Üniversitesi
3,Doç. Dr.,Duygu AĞAOĞULLARI,2021,Malzeme Mühendisliği,İstanbul Teknik Üniversitesi
4,Doç. Dr.,Dilek ALTUN,2021,Eğitim,Ankara Yıldırım Beyazıt Üniversitesi
5,Dr. Öğr. Üyesi,Pelin ANGIN,2021,Bilgisayar Mühendisliği / Siber Güvenlik,Orta Doğu Teknik Üniversitesi
6,Prof. Dr.,Erchan APTOULA,2021,Görüntü İşleme,Gebze Teknik Üniversitesi
7,Prof. Dr.,Yiğit ATILGAN,2021,Finans,Sabancı Üniversitesi
8,Dr. Öğr. Üyesi,Hayat AYAR ŞENTÜRK,2021,İşletme/ Üretimyönetimi ve Pazarlama,Yıldız Teknik Üniversitesi
9,Dr. Öğr. Üyesi,Emre BÜKÜŞOĞLU,2021,Kimya Mühendisliği / Malzeme Bilimi,Orta Doğu Teknik Üniversitesi
10,Doç. Dr.,Deniz CEYLAN TUNCABOYLU,2021,Kimya /Polimer,Bezmialem Vakıf Üniversitesi
11,Doç. Dr.,Erdem CÜCE,2021,Makine Mühendisliği,Recep Tayyip Erdoğan Ü.
12,Doç. Dr.,Enes DERTLİ,2021,Gıda Mühendisliği,Yıldız Teknik Üniversitesi
13,Prof. Dr.,Hasan DİNÇER,2021,Bankacılık Ve İşletme,İstanbul Medipol Üniversitesi
14,Doç. Dr.,Ahmet EKEN,2021,Tıbbi Biyoloji / Tıp,Erciyes Üniversitesi
15,Doç. Dr.,Gizem ERDEM GÜREL,2021,Psikoloji,Koç Üniversitesi
16,Dr. Öğr. Üyesi,Onur ERGEN,2021,Nanoteknoloji / Yenilenebilir Enerji Üretimi,İstanbul Teknik Üniversitesi
17,Doç. Dr.,Ali Erçin ERSUNDU,2021,Malzeme Bilimi ve Mühendisliği,Yıldız Teknik Üniversitesi
18,Doç. Dr.,Efe Can GÜRCAN,2021,Uluslararası İlişkiler,İstinye Üniversitesi
19,Doç. Dr.,Bilge GÜVENÇ TUNA,2021,Biyofizik,Yeditepe Üniversitesi
20,Dr. Öğr. Üyesi,Fatih İNCİ,2021,Biyoedikal Mühendisliği,İ. D. Bilkent Üniversitesi
21,Dr. Öğr. Üyesi,Gözde KORKMAZ,2021,Genetik / Moleküler Biyoloji,Koç Üniversitesi
22,Doç. Dr.,Tufan KUMBASAR,2021,Kontrol ve Otomasyon Mühendisliği,İstanbul Teknik Üniversitesi
23,Dr. Öğr. Üyesi,Emir Salih MAĞDEN,2021,Elektrik / Elektronik Mühendisliği,Koç Üniversitesi
24,Doç. Dr.,Mohammedreza NOFAR,2021,Metalurji Ve Malzeme Mühendisliği,İstanbul Teknik Üniversitesi
25,Prof. Dr.,Cemal Georg ORHAN,2021,Veteriner Fakültesi,Fırat Üniversitesi
26,Doç. Dr.,Mehmet ÖZKAN,2021,Fizik,İstanbul Teknik Üniversitesi
27,Doç. Dr.,Eren ŞAHİNER,2021,Jeokronoloji / Fizik,Ankara Üniversitesi
28,Dr. Öğr. Üyesi,Erkan ŞENSES,2021,Polimer Bilimi,Koç Üniversitesi
29,Doç. Dr.,Murat ŞENTÜRK,2021,Sosyoloji,İstanbul Üniversitesi
30,Doç. Dr.,Akın TAŞÇIKARAOĞLU,2021,Elektrik Mühendisliği / Enerji,Muğla Sıtkı Koçman Üniversitesi
31,Dr. Öğr. Üyesi,Muhammet FATİH TOY,2021,Biyomedikal Optik / Biyofotonik,İstanbul Medipol Üniversitesi
32,Dr. Öğr. Üyesi,Lütfi Taner TUNÇ,2021,İmalat Teknolojileri,Sabancı Üniversitesi
33,Doç. Dr.,Meltem YANILMAZ,2021,Tekstil Mühendisliği,İstanbul Teknik Üniversitesi
34,Dr. Öğr. Üyesi,Murat Kaya YAPICI,2021,Elektronik Mühendisliği,Sabancı Üniversitesi
35,Doç. Dr.,Emre YÜCE,2021,Fizik,Orta Doğu Teknik Üniversitesi
36,Prof. Dr.,Yunus ZORLU,2021,Kimya,Gebze Teknik Üniversitesi
37,Prof. Dr.,İpek SÜNTAR,2021,Eczacılık / Farmakognozi,Gazi Üniversitesi
1,Doç. Dr.,Mustafa Oğuz AFACAN,2020,İktisat,Sabancı Üniversitesi
2,Doç. Dr.,Serdar AKBAYRAK,2020,Kimya / Anorganik Kimya,Sinop Üniversitesi
3,Doç. Dr.,Yaşar AKDOĞAN,2020,Kimya / Malzeme Bilimi Ve Müh.,İzmir Yüksek Teknoloji Enstitüsü
4,Doç. Dr.,Abdullah AKSU,2020,Deniz ve Çevre Bilimleri,İstanbul Üniversitesi
5,Doç. Dr.,Kamil Boratay ALICI,2020,Uzay Araştırmaları / Fizik,TÜBİTAK Uzay Teknolojileri Araştırma E.
6,Prof. Dr.,Ahmet Can ALTUNIŞIK,2020,İnşaat Müh./Deprem Müh.,Karadeniz Teknik Üniversitesi
7,Prof.Dr.,Necip ATAR,2020,Kimya Mühendisliği,Pamukkale Üniversitesi
8,Dr.,Muhammet Zahit ATÇIL,2020,Tarih,İstanbul Medeniyet Üniversitesi
9,Dr.,Hasan ÇOLAK,2020,Tarih,TOBB Ekonomi ve Teknoloji Üniv.
10,Doç. Dr.,Ayşegül DOĞAN,2020,Genetik ve Biyomühendislik,Yeditepe Üniversitesi
11,Prof. Dr.,Ozan ERDİNÇ,2020,Elektrik Mühendisliği,Yıldız Teknik Üniversitesi
12,Dr.,Eliza GHEORGHE,2020,Uluslararası İlişkiler,Bilkent Üniversitesi
13,Uzm. Dr.,Güneş GÜNER,2020,Tıbbi Patoloji,Hacettepe Üniversitesi
14,Doç. Dr.,Hulusi KAFALIGÖNÜL,2020,Psikoloji / Bilişsel Nörobilim,Bilkent Üniversitesi
15,Doç. Dr.,Aysel KANTÜRK FİGEN,2020,Hidrojen Enerjisi,Yıldız Teknik Üniversitesi
16,Prof. Dr.,Yusuf KAYNAK,2020,Makine Mühendisliği,Marmara Üniversitesi
17,Dr.,Ghaith MAKEY,2020,Fizik / Genel Fizik,Bilkent Üniversitesi
18,Dr.,Mert MORAL,2020,Siyaset Bilimi,Sabancı Üniversitesi
19,Dr.,Betül ÖZBAY,2020,Eski Türk Dili,İstanbul Medeniyet Ünüversitesi
20,Dr.,Korhan ÖZKAN,2020,Topluluk Ekolojisi,Orta Doğu Teknik Üniversitesi
21,Doç. Dr.,Zerrin SEZGİN BAYINDIR,2020,Farmasotik Teknoloji,Ankara Üniversitesi
22,Doç. Dr.,Fatma Sezer ŞENOL DENİZ,2020,Farmakognozi,Gazi Üniversitesi
23,Doç. Dr.,Ahmet ŞENSOY,2020,Finans,Bilkent Üniversitesi
24,Dr.,Savaş TAŞOĞLU,2020,Makine Mühendisliği,Koç Üniversitesi
25,Doç.Dr.,Hüseyin Cumhur TEKİN,2020,Biyomühendislik,İzmir Yüksek Teknoloji Enstitüsü
26,Dr.,İhsan Efe TOKDEMİR,2020,Uluslararası İlişkiler,Bilkent Üniversitesi
27,Doç. Dr.,Rifat Onur UMUCALILAR,2020,Fizik / Katıhal Fiziği,Mimar Sinan Güzel Sanatlar Üniv.
28,Prof. Dr.,Mehmet Gökhan HALICI,2020,Biyoloji / Botanik,Erciyes Üniversitesi
29,Prof. Dr.,Didem ÖZÇİMEN,2020,Biyomühendislik,Yıldız Teknik Üniversitesi
30,Doç. Dr.,Burcu ÖZSOY,2020,"İklim Değişikliği, Deniz Kirliliği",İTÜ / TÜBİTAK - MAM KARE
31,Prof. Dr.,Cengiz YILDIRIM,2020,Yer Bilimleri,İstanbul Teknik Üniversitesi
1,Dr. Öğr. Üyesi,Ahu ARSLAN YILDIZ,2019,Biyomühendislik,İzmir Yüksek Teknoloji Ensti.
2,Dr. Öğr. Üyesi,Umut AYDEMİR,2019,Kimya,Koç Üniversitesi
3,Doç. Dr.,Mehmet Fatih AYSAN,2019,Sosyoloji,Marmara Üniv.
4,Prof. Dr.,Ali BALCI,2019,Uluslararası İlişkiler,Sakarya Üniv.
5,Doç. Dr.,Turgay BAYRAKTAR,2019,Matematik,Sabancı Üniversitesi
6,Doç.Dr.,Zeki CANDAN,2019,Orman Endüstri Mühendisliği,İstanbul Üniversitesi - Cerrahpaşa
7,Doç. Dr.,Hülya CEBECİ,2019,Uzay Bilimleri,İstanbul Teknik Üniversitesi
8,Prof. Dr.,Can Özgür ÇOLPAN,2019,Makine Mühendisliği,Dokuz Eylül Üniversitesi
9,Prof. Dr.,Seda DURAL ÇETİNKAYA,2019,Psikoloji,İzmir Ekonomi Üniv.
10,Doç. Dr.,Fatih DURGUN,2019,Tarih,İstanbul Medeniyet Üniversitesi
11,Doç. Dr.,Batur ERCAN,2019,Malzeme Bilimi,ODTÜ
12,Doç. Dr.,Ersin ERDOĞAN,2019,Hukuk,Yıldırım Beyazıt Üniv.
13,Doç. Dr.,Nazife ERKURŞUN ÖZCAN,2019,Matematik,Hacettepe Üniversitesi
14,Doç. Dr,Ferdane Nükhet HARMANCIOĞLU GÜR,2019,Pazarlama,Koç Üniversitesi
15,Prof. Dr.,Güneş KARABULUT KURT,2019,Haberleşme Bilgi Teorisi,İstanbul Teknik Üniversitesi
16,Prof. Dr.,İhsan KAYA,2019,Endüstri Mühendisliği,Yıldız Teknik Üniversitesi
17,Doç. Dr.,Nurettin MENGEŞ,2019,Kimya,Van Yüzüncü Yıl Üniversitesi
18,Dr. Öğr. Üyesi,Mehmet Cengiz ONBAŞLI,2019,Elektrik Elektronik Mühendisliği,Koç Üniversitesi
19,Doç. Dr,Arzucan ÖZGÜR TÜRKMEN,2019,Bilgisayar Mühendisliği,Boğaziçi Üniv.
20,Doç. Dr.,Merva SOLUK TEKKEŞİN,2019,Oral Patoloji,İstanbul Üniversitesi
21,Dr. Öğr. Üyesi,Onur TOKEL,2019,Fizik,Bilkent Üniversitesi
22,Doç. Dr.,Hacer TOKYÜREK,2019,Eski Türk Dili,Erciyes Üniv.
23,Prof. Dr.,Sibel Aylin UĞUR İŞERİ,2019,Moleküler Biyoloji Ve Genetik,İstanbul Üniversitesi
24,Dr. Öğr. Üyesi,Halit UYANIK,2019,Hukuk,İstanbul Üniv
25,Dr. Öğr. Üyesi,Burak ÜLGÜT,2019,Kimya,Bilkent Üniversitesi
26,Doç. Dr.,Hilal YAZICI MALKOÇOĞLU,2019,Biyoteknoloji,TÜBİTAK MAM
27,Prof. Dr.,Ozan YILMAZ,2019,Türk Dili Ve Edebiyat,Sakarya Üniv.
28,Prof. Dr.,Mehmet LÜTFİ YOLA,2019,Biyomedikal Mühendisliği,Hasan Kalyoncu Üniversitesi
1,Doç. Dr.,Canan ACAR,2018,Enerji Sistemleri Mühendisliği,Bahçeşehir Üniversitesi
2,Doç. Dr.,Yasemin AFACAN,2018,Mimarlık,Bilkent Üniversitesi
